"lekce","tema","content"
1,Úvod,"Představení kurzu, motivace studentů, osnova, nároky na samostudium, engeto portál. Konvence tabulek. Databáze - zakladna prace, ako vypada, pripravit tabulku kde si vyselectuju osnovu v akych tabulkach je co, osnovu"
2,SQL 1,"select, distinct, where, order by, tvorba nových sloupců"
3,SQL 2,"group by, agregační funkce, having"
4,SQL 3,"join, union"
5,SQL 4,join again + Tableau start
6,Tableau 1,"zaklady, nacteni dat, prvni graf, muj prvni verejny dashboard"
7,Tableau 2,"mapa, tooltip, pie chart, line chart, calculations, formating"
8,Pandas 1,"numpy, Series, načtení dat, popisné statistiky"
9,Pandas 2,"ekvivalenty SQL - groupby, join, merge, sort_values. Grafy z pandas dataframe"
10,Pandas 3,"užitečné vlastnosti a funkce - multiindex, multicolumn, assign, pivot, melt, apply, fillna, interpolate"
11,Vizualizace,"matplotlib - line plot, bar chart, pie chart, histogram. Subploty, fill_between atd."
12,Regrese + Case study,Regrese a zkouseni vseho na praktickem prikladu
